,titulo,link,descripcion,idioma,traduccion
10,Fuera de la ley,https://www.imdb.com/title/tt0012538/?ref_=adv_li_tt,"In this early collaboration with director Tod Browning (Dracula, Freaks), Chaney delivers a dual performance of dramatic intensity, starring as Ah Wing, a kind-hearted student of Confucian philosophy, and Black Mike Sylva, a murderous rake of the San Francisco underworld.",en,"'In this early collaboration with director Tod Browning (Dracula, Freaks), Chaney delivers a dual performance of dramatic intensity, starring as Ah Wing, a kind-hearted student of Confucian philosophy, and Black Mike Sylva, a murderous rake of the San Francisco underworld.'"
11,El caíd,https://www.imdb.com/title/tt0012675/?ref_=adv_li_tt,"A charming Arabian sheik becomes infatuated with an adventurous, modern-thinking Englishwoman and abducts her to his home in the Saharan desert.",en,"'A charming Arabian sheik becomes infatuated with an adventurous, modern-thinking Englishwoman and abducts her to his home in the Saharan desert.'"
12,La marca del Zorro,https://www.imdb.com/title/tt0011439/?ref_=adv_li_tt,¡El Zorro protege a los oprimidos!,es,'¡El Zorro protege a los oprimidos!'
13,Sex,https://www.imdb.com/title/tt0011679/?ref_=adv_li_tt,A broadway actress uses her sex appeal to ruin a marriage only to dump her lover for a richer prospect.,en,'A broadway actress uses her sex appeal to ruin a marriage only to dump her lover for a richer prospect.'
14,Tarzan of the Apes,https://www.imdb.com/title/tt0009682/?ref_=adv_li_tt,"Reared by a childless ape, the orphaned heir of the Greystokes becomes one of the apes. Then, Dr Porter organises a rescue expedition, and his beautiful daughter, Jane, catches his attention. Has Tarzan of the Apes found the perfect mate?",en,"'Reared by a childless ape, the orphaned heir of the Greystokes becomes one of the apes. Then, Dr Porter organises a rescue expedition, and his beautiful daughter, Jane, catches his attention. Has Tarzan of the Apes found the perfect mate?'"
15,Las dos tormentas,https://www.imdb.com/title/tt0011841/?ref_=adv_li_tt,"A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",en,"'A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.'"
16,Macho y hembra,https://www.imdb.com/title/tt0010418/?ref_=adv_li_tt,"Lady Mary Lasenby is a spoiled maiden who always gets her way until shipwrecked with her butler, then learns which qualities are really admirable in a person.",en,"'Lady Mary Lasenby is a spoiled maiden who always gets her way until shipwrecked with her butler, then learns which qualities are really admirable in a person.'"
17,La reina de Saba,https://www.imdb.com/title/tt0012600/?ref_=adv_li_tt,"The story of the ill-fated romance between Solomon, king of Israel, and the Queen of Sheba.",en,"'The story of the ill-fated romance between Solomon, king of Israel, and the Queen of Sheba.'"
18,Salome,https://www.imdb.com/title/tt0009573/?ref_=adv_li_tt,"When Herodias divorces her husband and marries his brother Herod Antipas, governor of Judea, the prophet John the Baptist protests and is imprisoned. Salome, daughter of Herodias and both niece and step-daughter to Herod dances seductively and wins the prize of anything she asks of Herod. The prize she asks is the head of John the Baptist.",en,"'When Herodias divorces her husband and marries his brother Herod Antipas, governor of Judea, the prophet John the Baptist protests and is imprisoned. Salome, daughter of Herodias and both niece and step-daughter to Herod dances seductively and wins the prize of anything she asks of Herod. The prize she asks is the head of John the Baptist.'"
19,Yo acuso,https://www.imdb.com/title/tt0010307/?ref_=adv_li_tt,"The story of two men, one married, the other the lover of the others wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war.",en,"'The story of two men, one married, the other the lover of the others wife, who meet in the trenches of the First World War, and how their tale becomes a microcosm for the horrors of war.'"
20,El hombre sin piernas (The Penalty),https://www.imdb.com/title/tt0011565/?ref_=adv_li_tt,A deformed criminal mastermind plans to loot the city of San Francisco as well as revenge himself on the doctor who mistakenly amputated his legs.,en,'A deformed criminal mastermind plans to loot the city of San Francisco as well as revenge himself on the doctor who mistakenly amputated his legs.'
21,El castillo Vogeloed,https://www.imdb.com/title/tt0012651/?ref_=adv_li_tt,"In the castle Vogeloed, a few aristocrats are awaiting baroness Safferstätt. But first count Oetsch invites himself.. Everyone thinks he murdered his brother, baroness Safferstats first husband, three years ago. So he is rather undesirable. But Oetsch stays; arguing he is not the murderer and will find the real one...",en,"'In the castle Vogeloed, a few aristocrats are awaiting baroness Safferstätt. But first count Oetsch invites himself.. Everyone thinks he murdered his brother, baroness Safferstats first husband, three years ago. So he is rather undesirable. But Oetsch stays; arguing he is not the murderer and will find the real one...'"
22,Los tres mosqueteros,https://www.imdb.com/title/tt0012752/?ref_=adv_li_tt,"Cardinal Richelieu, engaged in intrigue at the court of Louis XIII, attempts to rule by threatening the queen, who is secretly in love with the Duke of Buckingham. From Gascony comes DArtagnan to join the Kings Musketeers in his quest for adventure. He wins the right to membership by proving his prowess with the sword and forms an eternal alliance with Athos, Portho...",en,"'Cardinal Richelieu, engaged in intrigue at the court of Louis XIII, attempts to rule by threatening the queen, who is secretly in love with the Duke of Buckingham. From Gascony comes DArtagnan to join the Kings Musketeers in his quest for adventure. He wins the right to membership by proving his prowess with the sword and forms an eternal alliance with Athos, Portho...'"
23,Dalagang bukid,https://www.imdb.com/title/tt0451692/?ref_=adv_li_tt,"This is the first Filipino feature-length film made by a Filipino director regarded as Father of Filipino Movies and is now lost forever. Dalagang Bukid is a story about a young flower vendor named Angelita , who is forced by her parents to marry a wealthy old man, Don Silvestre, despite her love for Cipriano, a law student.",en,"'This is the first Filipino feature-length film made by a Filipino director regarded as Father of Filipino Movies and is now lost forever. Dalagang Bukid is a story about a young flower vendor named Angelita , who is forced by her parents to marry a wealthy old man, Don Silvestre, despite her love for Cipriano, a law student.'"
24,La muñeca,https://www.imdb.com/title/tt0010600/?ref_=adv_li_tt,"Forced into marriage by his uncle, a man decides to fool him by marrying a life-like mechanical doll instead.",en,"'Forced into marriage by his uncle, a man decides to fool him by marrying a life-like mechanical doll instead.'"
25,Las dos huérfanas,https://www.imdb.com/title/tt0012532/?ref_=adv_li_tt,"Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.",en,"'Two orphaned sisters are caught up in the turmoil of the French Revolution, encountering misery and love along the way.'"
26,La tumba India 2: El tigre de Esnapur,https://www.imdb.com/title/tt0012313/?ref_=adv_li_tt,"Howard is infected with leprosy, Mac Allen was captured by the Maharadsha, and now the Maharadsha offers Irene a deal: one night for letting healing Howard. She accepts, but when she tries to commit suicide, he let us her go. Mac Allen is being eaten by the tigers, and finally the Maharani dies.",en,"'Howard is infected with leprosy, Mac Allen was captured by the Maharadsha, and now the Maharadsha offers Irene a deal: one night for letting healing Howard. She accepts, but when she tries to commit suicide, he let us her go. Mac Allen is being eaten by the tigers, and finally the Maharani dies.'"
27,The Son of Tarzan,https://www.imdb.com/title/tt0011717/?ref_=adv_li_tt,"Tarzans son, Jack, escapes captivity and retreats into the jungle with an ape, where he finds love in unexpected places.",en,"'Tarzans son, Jack, escapes captivity and retreats into the jungle with an ape, where he finds love in unexpected places.'"
28,Corazones del mundo,https://www.imdb.com/title/tt0009150/?ref_=adv_li_tt,Young lovers in a French village are torn apart with the coming of the Great War.,en,'Young lovers in a French village are torn apart with the coming of the Great War.'
29,Erotikon,https://www.imdb.com/title/tt0011157/?ref_=adv_li_tt,"EROTIKON surely pushed the boundaries of what was acceptable on the screen in 1920: Irene, the bored wife of a distracted entomologist, pursues a womanizing aviator, but she may actually be in love with Preben, her husbands best friend. Meanwhile, her husband seems to be getting unusually close with his own niece. Stiller obviously delights in teasing his audience wi...",en,"'EROTIKON surely pushed the boundaries of what was acceptable on the screen in 1920: Irene, the bored wife of a distracted entomologist, pursues a womanizing aviator, but she may actually be in love with Preben, her husbands best friend. Meanwhile, her husband seems to be getting unusually close with his own niece. Stiller obviously delights in teasing his audience wi...'"
30,Adventures of Tarzan,https://www.imdb.com/title/tt0011908/?ref_=adv_li_tt,"When Jane is abducted by Arab slave traders, Tarzan comes to her rescue, only to see her kidnapped again by Queen La of Opar. To save Jane, Tarzan must battle both the queens minions and William Clayton, who seeks Tarzans family title.",en,"'When Jane is abducted by Arab slave traders, Tarzan comes to her rescue, only to see her kidnapped again by Queen La of Opar. To save Jane, Tarzan must battle both the queens minions and William Clayton, who seeks Tarzans family title.'"
31,Diferente a los demás,https://www.imdb.com/title/tt0009878/?ref_=adv_li_tt,"Two male musicians fall in love, but blackmail and scandal makes the affair take a tragic turn.",en,"'Two male musicians fall in love, but blackmail and scandal makes the affair take a tragic turn.'"
32,No cambies de esposo,https://www.imdb.com/title/tt0010071/?ref_=adv_li_tt,"Leila Porter comes to dislike her husband James, a glue king who is always eating onions and looking sloppy. But after she divorces him and marries two-timing playboy Schuyler Van Sutphen the now-reformed James looks pretty good.",en,"'Leila Porter comes to dislike her husband James, a glue king who is always eating onions and looking sloppy. But after she divorces him and marries two-timing playboy Schuyler Van Sutphen the now-reformed James looks pretty good.'"
33,David el duro,https://www.imdb.com/title/tt0012763/?ref_=adv_li_tt,"When three thuggish men are responsible for the death of his father and the crippling of his brother, young David must choose between supporting his family or risking his life and exacting vengeance.",en,"'When three thuggish men are responsible for the death of his father and the crippling of his brother, young David must choose between supporting his family or risking his life and exacting vengeance.'"
34,El último Mohicano,https://www.imdb.com/title/tt0011387/?ref_=adv_li_tt,"In the midst of the French and Indian War, the eldest daughter of a British officer develops an attraction towards an Indian ally who is the last living warrior of his tribe, the Mohicans.",en,"'In the midst of the French and Indian War, the eldest daughter of a British officer develops an attraction towards an Indian ally who is the last living warrior of his tribe, the Mohicans.'"
35,La dama de las camelias,https://www.imdb.com/title/tt0012027/?ref_=adv_li_tt,"A courtesan and an idealistic young man fall in love, only for her to give up the relationship at his status-conscious fathers request.",en,"'A courtesan and an idealistic young man fall in love, only for her to give up the relationship at his status-conscious fathers request.'"
36,El gato montés,https://www.imdb.com/title/tt0011960/?ref_=adv_li_tt,"A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained.",en,"'A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained.'"
37,Himmelskibet,https://www.imdb.com/title/tt0008100/?ref_=adv_li_tt,"A group of researchers from Earth travel in a spaceship to Mars, where, to big surprise, they find a peaceful vegetarian and pacifist civilization.",en,"'A group of researchers from Earth travel in a spaceship to Mars, where, to big surprise, they find a peaceful vegetarian and pacifist civilization.'"
38,Corazón olvidado,https://www.imdb.com/title/tt0009937/?ref_=adv_li_tt,An Austrian officer sets out to seduce a neglected young wife.,en,'An Austrian officer sets out to seduce a neglected young wife.'
39,La viuda del pastorº,https://www.imdb.com/title/tt0011607/?ref_=adv_li_tt,"A young man is elected by a small village to be its parson. As part of his duties, he is required to marry the widow of the parson before him. This poses two problems--first, the widow is old enough to be his grandmother, and second, he is already engaged to another woman.",en,"'A young man is elected by a small village to be its parson. As part of his duties, he is required to marry the widow of the parson before him. This poses two problems--first, the widow is old enough to be his grandmother, and second, he is already engaged to another woman.'"
40,Der Januskopf,https://www.imdb.com/title/tt0011348/?ref_=adv_li_tt,Two opposing characters are hidden in the person of the inconspicuous London gentleman.Dr.Warren and Janus,en,'Two opposing characters are hidden in the person of the inconspicuous London gentleman.Dr.Warren and Janus'
41,"Die Spinnen, 1. Teil - Der Goldene See",https://www.imdb.com/title/tt0010726/?ref_=adv_li_tt,"Kay Hoog finds a message that indicates that some Incas are still alive, but the secret organisation Die Spinnen wants the Incas gold....",en,"'Kay Hoog finds a message that indicates that some Incas are still alive, but the secret organisation Die Spinnen wants the Incas gold....'"
42,El borrón,https://www.imdb.com/title/tt0011979/?ref_=adv_li_tt,"The Professor dispenses the wisdom of the ages and does not make a living wage. The sons of the rich and powerful are students lacking any motivation. The next door neighbor of the Professor, businessman Olsen, has money and lots of food, while the Griggs have hardly any. Both Peter Olsen and Reverend Gates are taken by the beauty of young Amelia Griggs. When rich son...",en,"'The Professor dispenses the wisdom of the ages and does not make a living wage. The sons of the rich and powerful are students lacking any motivation. The next door neighbor of the Professor, businessman Olsen, has money and lots of food, while the Griggs have hardly any. Both Peter Olsen and Reverend Gates are taken by the beauty of young Amelia Griggs. When rich son...'"
43,El ruiseñor del pueblo,https://www.imdb.com/title/tt0011588/?ref_=adv_li_tt,An orphans optimistic outlook brings a change to the ill-tempered town in which she resides to her aunt.,en,'An orphans optimistic outlook brings a change to the ill-tempered town in which she resides to her aunt.'
44,Los proscriptos,https://www.imdb.com/title/tt0008879/?ref_=adv_li_tt,Un extraño llega a trabajar a la granja de la viuda Halla.,es,'Un extraño llega a trabajar a la granja de la viuda Halla.'
45,No quiero ser un hombre,https://www.imdb.com/title/tt0010281/?ref_=adv_li_tt,"A teenaged tomboy, tired of being bossed around by her strict guardian, impersonates a man so she can have more fun, but discovers that being the opposite sex is not as easy as she had hoped.",en,"'A teenaged tomboy, tired of being bossed around by her strict guardian, impersonates a man so she can have more fun, but discovers that being the opposite sex is not as easy as she had hoped.'"
46,Wagon Tracks,https://www.imdb.com/title/tt0010853/?ref_=adv_li_tt,"Desert guide Buckskin Hamilton learns that his brother Billy has been killed, supposedly by Jane Washburn in self-defense. As he leads a long wagon train, Buckskin suspects that Janes gambling brother Donald, and his confederate, Guy Merton, are responsible. When the entire train is put on short allowance in the desert, Buckskin shows tenderness for the helpless, and...",en,"'Desert guide Buckskin Hamilton learns that his brother Billy has been killed, supposedly by Jane Washburn in self-defense. As he leads a long wagon train, Buckskin suspects that Janes gambling brother Donald, and his confederate, Guy Merton, are responsible. When the entire train is put on short allowance in the desert, Buckskin shows tenderness for the helpless, and...'"
47,Harakiri,https://www.imdb.com/title/tt0010208/?ref_=adv_li_tt,"The Buddhist priest wants the Daughter of the Daimyo to become a priestess at the Forbidden Garden. The Daimyo thinks if he were in Europe that his daughter should decide on her own, but he is denounced and has to commit harakiri. She meets Olaf, a European officer, falls in love and marries him, but after a few months he has to return to Europe. She gives birth to a ...",en,"'The Buddhist priest wants the Daughter of the Daimyo to become a priestess at the Forbidden Garden. The Daimyo thinks if he were in Europe that his daughter should decide on her own, but he is denounced and has to commit harakiri. She meets Olaf, a European officer, falls in love and marries him, but after a few months he has to return to Europe. She gives birth to a ...'"
48,La princesa de las ostras,https://www.imdb.com/title/tt0009893/?ref_=adv_li_tt,An American heiress seeks the hand of an impoverished German prince.,en,'An American heiress seeks the hand of an impoverished German prince.'
49,Genuine,https://www.imdb.com/title/tt0011221/?ref_=adv_li_tt,"Extremely rare work of Robert Wiene. From the director and year of excellent The Cabinet of Dr. Caligari this work was eventually overshadowed by the success of Caligari. It has a dreamy atmosphere, like another world or something.",en,"'Extremely rare work of Robert Wiene. From the director and year of excellent The Cabinet of Dr. Caligari this work was eventually overshadowed by the success of Caligari. It has a dreamy atmosphere, like another world or something.'"
50,The Symbol of the Unconquered,https://www.imdb.com/title/tt0139632/?ref_=adv_li_tt,"Racists learn that the land a negro owns lies over a vast oil field, and threaten his life when he refuses to sell.",en,"'Racists learn that the land a negro owns lies over a vast oil field, and threaten his life when he refuses to sell.'"
51,Anne of Green Gables,https://www.imdb.com/title/tt0009879/?ref_=adv_li_tt,"Anne Shirley, an orphan, is taken into the lives of a generous farmer and his sister. She grows from an adventuresome young lass into a charming and much sought-after young lady.",en,"'Anne Shirley, an orphan, is taken into the lives of a generous farmer and his sister. She grows from an adventuresome young lass into a charming and much sought-after young lady.'"
52,Ana Bolena,https://www.imdb.com/title/tt0010962/?ref_=adv_li_tt,"The story of the ill-fated second wife of the English king Henry VIII, whose marriage to the Henry led to momentous political and religious turmoil in England.",en,"'The story of the ill-fated second wife of the English king Henry VIII, whose marriage to the Henry led to momentous political and religious turmoil in England.'"
53,Papá piernas largas,https://www.imdb.com/title/tt0010040/?ref_=adv_li_tt,"Una huérfana descubre que tiene un benefactor anónimo que está dispuesto a pagar su matrícula universitaria, sin saber que es el mismo hombre que la ha estado persiguiendo románticamente.",es,"'Una huérfana descubre que tiene un benefactor anónimo que está dispuesto a pagar su matrícula universitaria, sin saber que es el mismo hombre que la ha estado persiguiendo románticamente.'"
54,The Flapper,https://www.imdb.com/title/tt0011193/?ref_=adv_li_tt,"Ginger grows up in a slow town. Because of her wild attitude, her father decides to send her to a strict boarding school. Despite the strictness, the girls have fun getting into flapper lifestyle trouble including flirting.",en,"'Ginger grows up in a slow town. Because of her wild attitude, her father decides to send her to a strict boarding school. Despite the strictness, the girls have fun getting into flapper lifestyle trouble including flirting.'"
55,La tumba india: La misión del Yogi,https://www.imdb.com/title/tt0012314/?ref_=adv_li_tt,La esposa de un cruel príncipe indio intenta escapar de su dominación.,es,'La esposa de un cruel príncipe indio intenta escapar de su dominación.'
56,Drakula halála,https://www.imdb.com/title/tt0240464/?ref_=adv_li_tt,A girl has frightening visions after visiting an insane asylum where one of the inmates claims to be Drakula and she can not be sure whether they were a nightmare or real.,en,'A girl has frightening visions after visiting an insane asylum where one of the inmates claims to be Drakula and she can not be sure whether they were a nightmare or real.'
57,Pasión y boda de Pamplinas,https://www.imdb.com/title/tt0011652/?ref_=adv_li_tt,The simple-minded son of a rich financier must find his own way in the world.,en,'The simple-minded son of a rich financier must find his own way in the world.'
58,Something to Think About,https://www.imdb.com/title/tt0011716/?ref_=adv_li_tt,"Wealthy cripple Markley finances the education of blacksmiths daughter Ruth. When she returns to their small town he asks to marry her, but she runs off with city worker Jim Dirk who is then killed in a subway accident. Markley offers to marry her in name only to protect her new son.",en,"'Wealthy cripple Markley finances the education of blacksmiths daughter Ruth. When she returns to their small town he asks to marry her, but she runs off with city worker Jim Dirk who is then killed in a subway accident. Markley offers to marry her in name only to protect her new son.'"
59,Siete años de mala suerte,https://www.imdb.com/title/tt0127834/?ref_=adv_li_tt,"After breaking a mirror in his home, superstitious Max tries to avoid situations which could bring bad luck-- but in doing so, causes himself the worst luck imaginable.",en,"'After breaking a mirror in his home, superstitious Max tries to avoid situations which could bring bad luck-- but in doing so, causes himself the worst luck imaginable.'"
60,Little Women,https://www.imdb.com/title/tt0009309/?ref_=adv_li_tt,"Jo March and her sisters Meg, Beth, and Amy live in a happy family in Concord, Massachusetts. Jo yearns to be a writer, and through the course of the years, finds much within her own family to write about.",en,"'Jo March and her sisters Meg, Beth, and Amy live in a happy family in Concord, Massachusetts. Jo yearns to be a writer, and through the course of the years, finds much within her own family to write about.'"
61,The Homesteader,https://www.imdb.com/title/tt0135452/?ref_=adv_li_tt,"The Homesteader involves six principal characters, the leading one being Jean Baptiste (Charles Lucas), a homesteader far off in the Dakotas, the lone African American living in the area. To this wilderness arrives Jack Stewart, a Scotsman, with his motherless daughter, Agnes (Iris Hall), who does not know that she is biracial. In Agnes, Baptiste meets the girl of his ...",en,"'The Homesteader involves six principal characters, the leading one being Jean Baptiste (Charles Lucas), a homesteader far off in the Dakotas, the lone African American living in the area. To this wilderness arrives Jack Stewart, a Scotsman, with his motherless daughter, Agnes (Iris Hall), who does not know that she is biracial. In Agnes, Baptiste meets the girl of his ...'"
62,Historias tenebrosas,https://www.imdb.com/title/tt0010821/?ref_=adv_li_tt,"A demon, a reaper, and the ghost of a prostitute read gothic short stories and act them out.",en,"'A demon, a reaper, and the ghost of a prostitute read gothic short stories and act them out.'"
63,El barranco del diablo,https://www.imdb.com/title/tt0009153/?ref_=adv_li_tt,A cowboy must save his girlfriend from captivity and then cross the desert on foot with a single waterhole on the way.,en,'A cowboy must save his girlfriend from captivity and then cross the desert on foot with a single waterhole on the way.'
64,El tesoro de Arne,https://www.imdb.com/title/tt0010247/?ref_=adv_li_tt,"In 16th century Sweden, the lives of three Scottish mercenaries and a vicars family intersect after a crime forever alters a small coastal town. As the three try to escape, they find themselves trapped when all ships are frozen in ice.",en,"'In 16th century Sweden, the lives of three Scottish mercenaries and a vicars family intersect after a crime forever alters a small coastal town. As the three try to escape, they find themselves trapped when all ships are frozen in ice.'"
65,El milagro,https://www.imdb.com/title/tt0010466/?ref_=adv_li_tt,"A gang consisting of the Frog, who can dislocate his limbs, the Dope, a drug addict, Rose, who poses as the Dopes brutalized mistress, and Burke, the leader, prey on the sympathies and contributions of Chinatown sightseers, until Tom, reading about a deaf, dumb and nearly blind supposed faith healer called the Patriarch, living upstate, plans to take greater advantag...",en,"'A gang consisting of the Frog, who can dislocate his limbs, the Dope, a drug addict, Rose, who poses as the Dopes brutalized mistress, and Burke, the leader, prey on the sympathies and contributions of Chinatown sightseers, until Tom, reading about a deaf, dumb and nearly blind supposed faith healer called the Patriarch, living upstate, plans to take greater advantag...'"
66,Hamlet,https://www.imdb.com/title/tt0012249/?ref_=adv_li_tt,"La estrella del cine mudo danés Asta Nielsen formó su propia productora para hacer esta película, en la que se combinan nuevos elementos con características (y algunas líneas) familiares de Shakespeare.",es,"'La estrella del cine mudo danés Asta Nielsen formó su propia productora para hacer esta película, en la que se combinan nuevos elementos con características (y algunas líneas) familiares de Shakespeare.'"
67,The Delicious Little Devil,https://www.imdb.com/title/tt0010060/?ref_=adv_li_tt,"A poor hat-check girl loses her job and is forced to get a job as a dancer at a roadhouse. There she falls in love with the son of a rich businessman. The boys father, believing her to be after the familys money, determines to embarrass her and show his son what she really is.",en,"'A poor hat-check girl loses her job and is forced to get a job as a dancer at a roadhouse. There she falls in love with the son of a rich businessman. The boys father, believing her to be after the familys money, determines to embarrass her and show his son what she really is.'"
68,El arreglalotodo,https://www.imdb.com/title/tt0009400/?ref_=adv_li_tt,"A young man impersonates his best friend, and in doing so upsets the decorum at a stuffy family gathering and falls in love. The arrival of a gang of hoodlums further disrupts the formalities, but our hero thwarts them and saves the day.",en,"'A young man impersonates his best friend, and in doing so upsets the decorum at a stuffy family gathering and falls in love. The arrival of a gang of hoodlums further disrupts the formalities, but our hero thwarts them and saves the day.'"
69,El señorito Primavera,https://www.imdb.com/title/tt0011909/?ref_=adv_li_tt,Socialite Anatol Spencer seeks a better relation than he has with his wife. He sets up the friend of his youth Emilie in an apartment only to have her two-time him. He comforts the near suicidal Annie only to have her rob him.,en,'Socialite Anatol Spencer seeks a better relation than he has with his wife. He sets up the friend of his youth Emilie in an apartment only to have her two-time him. He comforts the near suicidal Annie only to have her rob him.'
70,Vier um die Frau,https://www.imdb.com/title/tt0012806/?ref_=adv_li_tt,"Harry Yquem, a wealthy broker, remains obsessed with delusions of his devout wifes infidelity.",en,"'Harry Yquem, a wealthy broker, remains obsessed with delusions of his devout wifes infidelity.'"
71,Páginas del libro de Satán,https://www.imdb.com/title/tt0011000/?ref_=adv_li_tt,"In 4 episodic tales of human suffering: the temptation of Jesus, the Spanish Inquisition, the French Revolution and the Russo-Finnish war of 1918, Satan attempts to win Gods favor.",en,"'In 4 episodic tales of human suffering: the temptation of Jesus, the Spanish Inquisition, the French Revolution and the Russo-Finnish war of 1918, Satan attempts to win Gods favor.'"
72,Brewster's Millions,https://www.imdb.com/title/tt0011998/?ref_=adv_li_tt,"Monte Brewster learns that he has inherited $10 million from his late grandfather, but then learns that he must spend $2 million in less than a year and remain unmarried to inherit the rest of the money.",en,"'Monte Brewster learns that he has inherited $10 million from his late grandfather, but then learns that he must spend $2 million in less than a year and remain unmarried to inherit the rest of the money.'"
73,¿Por qué cambiar de esposa?,https://www.imdb.com/title/tt0011865/?ref_=adv_li_tt,"Robert and Beth Gordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sallys superficiality, Beth strives to improve her looks. The original couple falls in love again at a summer resort.",en,"'Robert and Beth Gordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sallys superficiality, Beth strives to improve her looks. The original couple falls in love again at a summer resort.'"
74,El pájaro azul,https://www.imdb.com/title/tt0008891/?ref_=adv_li_tt,"Two peasant children, with the aid and guidance of a magical fairy, set out in search of the elusive Blue Bird of Happiness.",en,"'Two peasant children, with the aid and guidance of a magical fairy, set out in search of the elusive Blue Bird of Happiness.'"
